,Jisoo,Jennie,Rose,Lisa
0,10136.0,0.0,0.0,0.0
1,6000.0,0.0,0.0,0.0
2,3000.0,0.0,0.0,0.0
3,3673.0,0.0,0.0,0.0
4,3222.2,0.0,0.0,0.0
5,1300.0,0.0,0.0,0.0
6,1776.0,0.0,0.0,100.0
7,9440.9,0.0,0.0,0.0
8,7218.0,0.0,0.0,0.0
9,2770.4,0.0,0.0,0.0
10,633.0,0.0,0.0,0.0
11,4010.5,146.0,0.0,98.1
12,785.6,0.0,0.0,0.0
13,1143.0,0.0,0.0,0.0
14,1560.0,0.0,0.0,0.0
15,1100.0,0.0,0.0,0.0
16,1851.8,0.0,0.0,0.0
17,16241.8,0.0,0.0,0.0
18,862.9,0.0,0.0,0.0
19,1760.0,0.0,0.0,0.0
20,302.0,0.0,0.0,0.0
21,256.0,0.0,0.0,0.0
22,508.5,20.0,0.0,0.0
23,466.2,0.0,0.0,0.0
24,2733.0,0.0,0.0,0.0
25,210.0,0.0,0.0,669.7
26,2025.8,0.0,0.0,0.0
27,1103.0,580.0,211.0,1635.0
28,851.0,0.0,0.0,0.0
29,570.2,0.0,0.0,0.0
30,272.0,0.0,0.0,0.0
31,419.0,0.0,0.0,0.0
32,1139.0,0.0,0.0,0.0
33,206.0,0.0,0.0,0.0
34,3907.9,0.0,0.0,0.0
35,430.0,0.0,0.0,0.0
36,515.0,0.0,0.0,100.0
37,372.0,0.0,0.0,0.0
38,178.0,0.0,0.0,0.0
39,163.0,0.0,0.0,0.0
40,387.0,0.0,0.0,0.0
41,134.0,0.0,0.0,0.0
42,454.0,80.0,0.0,0.0
43,131.0,0.0,0.0,0.0
44,130.0,0.0,0.0,0.0
45,143.0,0.0,0.0,0.0
46,113.0,820.0,0.0,0.0
47,385.0,0.0,0.0,0.0
48,113.0,116.0,0.0,0.0
49,5843.7,0.0,0.0,0.0
50,532.8,0.0,0.0,0.0
51,846.5,0.0,0.0,0.0
52,359.0,0.0,0.0,0.0
53,320.0,0.0,0.0,167.0
54,1471.9,0.0,0.0,0.0
55,103.0,50.0,0.0,0.0
56,103.0,0.0,0.0,0.0
57,623.0,0.0,0.0,0.0
58,1045.0,0.0,0.0,0.0
59,603.0,0.0,0.0,0.0
60,103.0,0.0,0.0,0.0
61,103.0,0.0,0.0,0.0
62,113.0,0.0,0.0,0.0
63,689.0,0.0,0.0,0.0
64,273.4,116.0,0.0,0.0
65,564.1,0.0,0.0,0.0
66,169.0,0.0,0.0,0.0
67,103.0,0.0,0.0,0.0
68,103.0,0.0,0.0,0.0
69,567.3,0.0,0.0,0.0
70,103.0,0.0,0.0,0.0
